video_id,titulo,data,visualizacoes,curtidas,comentarios,duracao,perfil
5_K_uWgPstk,"R$ 17,9 milhões para transformar o Parque Dois Irmãos 🌳",2026-05-09T20:01:19Z,4380,390,27,PT1M38S,raquel_lyra
yjfdP0axxvE,9 de maio de 2026,2026-05-09T16:26:37Z,3581,315,15,PT33S,raquel_lyra
EulOG2JzzyI,"É Pernambuco crescendo com incentivo à cultura, geração de renda e valorização da nossa gente!💜🚀",2026-05-08T17:53:21Z,2387,323,14,PT1M12S,raquel_lyra
gY7MmxTrEvI,Laranjinhas estão nas ruas!,2026-05-08T15:16:25Z,8361,683,34,PT37S,raquel_lyra
3nDKRjvUx14,As inscrições já estão abertas no aplicativo PE.gov e no site secti.pe.gov.br/ia-para-todos. Bora?,2026-05-08T11:59:38Z,1348,98,4,PT23S,raquel_lyra
EszSn6qz1P4,"‪Quando transformar a saúde é propósito, a esperança volta a ocupar espaço e o resultado acontece. ‬",2026-05-07T23:36:48Z,3887,370,39,PT47S,raquel_lyra
EJTOTW19JqM,🚔 MAIS DE 4 MIL NOVOS PMS NAS RUAS DE PERNAMBUCO! 💜,2026-05-07T15:11:32Z,20595,1149,48,PT54S,raquel_lyra
YU7jKbD3r6c,Pernambuco reagindo forte às chuvas 🚧,2026-05-05T14:20:24Z,16458,1061,56,PT41S,raquel_lyra
LwOWwQQd_bY,15 de março de 2026,2026-03-16T02:56:56Z,1264,64,4,PT38S,raquel_lyra
eGcKmEjD4Bs,"Estamos construindo o legado de uma saúde pública mais forte, para as próximas gerações 🚀💜",2026-03-09T15:34:34Z,3028,355,21,PT2M,raquel_lyra
5xIFvPa2Lcg,"Agora são quase 24h de trabalho acontecendo nas obras do Arco Metropolitano, minha gente! 💜🚀",2026-02-27T12:55:43Z,1555,99,4,PT16S,raquel_lyra
EFjDMDaDda4,Recuperar hospital é recuperar dignidade. E Pernambuco não espera. PRA CIMA! 💜🚀,2026-02-23T16:16:26Z,3511,259,23,PT15S,raquel_lyra
PnYp2BjH4dU,"Meu prefeito @diegorcabaral, Camaragibe sabe receber bem, viu? Que noite linda essa de ontem!",2026-02-19T11:10:45Z,6870,295,16,PT30S,raquel_lyra
93viBVGHEyA,"Presidente @lulaoficial e @janjalula, vocês sempre serão muito bem-vindos ao Carnaval de Pernambuco!",2026-02-14T16:08:30Z,17345,481,43,PT19S,raquel_lyra
